Location,LAT,LON,Rank,Category
"Terrance, British Columbia",49.4552568,-119.6150589,1,Best Creeking Town
"Hood River, OR",45.5311636,-121.6475587,2,Best Creeking Town
"Thunder Bay, Ontario",48.406414,-89.259796,3,Best Creeking Town
"Asheville, NC",35.595363,-82.5508407,4,Best Creeking Town
"Jasper, Alberta",52.8752336,-118.0824291,5,Best Creeking Town
"Lake Placid, NY",44.2831194,-73.9828318,6,Best Creeking Town
"Revelstoke, British Columbia",50.998045,-118.1956709,7,Best Creeking Town
"Nevada City, CA",39.2625993,-121.0187304,8,Best Creeking Town
"Fayetteville, WV",38.0531294,-81.1039858,1,Best All-River Towns
"Copperhill, TN",34.9891567,-84.3700976,2,Best All-River Towns
"Clearwater, British Columbia",51.6503514,-120.0654595,3,Best All-River Towns
"Confluence, PA",39.8128548,-79.3567016,4,Best All-River Towns
"Petawawa, Ontario",45.8984286,-77.2826645,5,Best All-River Towns
"Crested Butte, CO",38.8698201,-106.984043,6,Best All-River Towns
"Kernville, CA",35.755235,-118.4245952,7,Best All-River Towns
"Maniwaki, Quebec",46.3778839,-75.9807967,8,Best All-River Towns
"Beachburg, Ontario",45.7328559,-76.8559063,1,Best Newbie-Friendly Towns
"Franklin, NC",36.1028596,-78.2787229,2,Best Newbie-Friendly Towns
"Charlemont, MA",42.6275354,-72.874488,3,Best Newbie-Friendly Towns
"Palmer Rapids, Ontario",45.3122289,-77.5072904,4,Best Newbie-Friendly Towns
"Forks of Salmon, CA",41.2571979,-123.3242063,5,Best Newbie-Friendly Towns
"Bingham, ME",45.0588897,-69.8822288,6,Best Newbie-Friendly Towns
"Canmover, Alberta",52.28333,-117.469,7,Best Newbie-Friendly Towns
"White Lake, WI",45.157193,-88.764551,8,Best Newbie-Friendly Towns
"Saint John, New Brunswick",45.2787992,-66.0585188,1,Best Urban Whitewater
"Montreal, Quebec",45.5031824,-73.5698065,2,Best Urban Whitewater
"Pueblo, CO",38.263995,-104.6141867,3,Best Urban Whitewater
"Ottawa, Ontario",45.4208777,-75.6901106,4,Best Urban Whitewater
"Watertown, NY",43.9747838,-75.9107565,5,Best Urban Whitewater
"Reno, NV",39.5261788,-119.812658,6,Best Urban Whitewater
"Cambridge, Ontario",43.3600536,-80.3123023,7,Best Urban Whitewater
"Missoula, MT",46.8701049,-113.995267,8,Best Urban Whitewater
"Salida, CO",38.5371195,-105.990968,1,Best Park 'n' Play Towns
"Trail, British Columbia",49.0945296,-117.7097659,2,Best Park 'n' Play Towns
"Fort Smith, Northwest Territories",60.005852,-111.890259,3,Best Park 'n' Play Towns
"San Marcos, TX",29.8826436,-97.9405828,4,Best Park 'n' Play Towns
"Jackson, WY",43.479965,-110.761815,5,Best Park 'n' Play Towns
"Enderby, British Columbia",50.5504793,-119.1397789,6,Best Park 'n' Play Towns
"Glenwood Springs, CO",39.5466381,-107.3246941,7,Best Park 'n' Play Towns
"Gardiner, MT",45.035094,-110.712651,NA,Tripadvisor
"Taos, NM",36.4072377,-105.573284,NA,Tripadvisor
"Canon City, CO",38.4422506,-105.2348795,NA,Tripadvisor
"Hartford, TN",35.8167646,-83.1432066,NA,Tripadvisor
"Buena Vista, CO",38.8422178,-106.1311288,NA,Tripadvisor
"McCaysville, GA",34.9861914,-84.3713117,NA,Tripadvisor
"Bryson City, NC",35.4309291,-83.447381,NA,Tripadvisor
"Coloma, CA",38.7999014,-120.890216,NA,Tripadvisor
"Ohiopyle, PA",39.8699324,-79.4929336,NA,Tripadvisor
"Idaho Springs, CO",39.7425969,-105.5136365,NA,Tripadvisor
"Merlin, OR",42.5173307,-123.4198575,NA,Tripadvisor
"The Forks, ME",45.3361624,-69.9672843,NA,Tripadvisor
"Athelstane, WI",45.4567592,-88.1180635,NA,Tripadvisor
"Weatherly, PA",40.9417535,-75.82964,NA,Tripadvisor
"Flagstaff, AZ",35.1987522,-111.651822,NA,Tripadvisor
"Lansing, WV",38.073444,-81.0656566,NA,Tripadvisor
"Stanley, ID",44.2161414,-114.9378523,NA,Tripadvisor
"Ocoee, TN",35.1222972,-84.7188272,NA,Tripadvisor
